"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"28","244.27742227995444","49.487571739654385","4.743985018623886","-0.27186381179166696","0.06689999999999996","0.05020000000000002","0.0836","1216","0.0005834812688370937","0","0.0005834812688370937","0.0005834812688370937","28_27:0.00894672496226584","28_27:533.3333333333333","true"
"29","282.38734974546253","173.1586830432284","4.791732162124575","-0.32426284330226407","0.01079999999999992","0.014399999999999968","0.0072","1216","0.00024612802337939887","0","0.00024612802337939887","0.00024612802337939887","29_30:0.0064532950261243505;29_28:0.01695424551203409","29_30:533.3333333333333;29_28:533.3333333333333","true"
"30","388.02044018240485","285.49212730486573","4.692900290899958","-0.3126801438234927","0.015800000000000036","0.023399999999999976","0.0082","1216","0.00020893633888067678","0","0.00020893633888067678","0.00020893633888067678","","","true"
"31","175.4838035827679","31.394606837981943","5.057529083520848","-0.3070059221402992","0.009000000000000008","0.008","0.010000000000000009","1216","0.0006453445022493874","0","0.0006453445022493874","0.0006453445022493874","31_30:0.012221710771024158;31_32:0.004728551631755368","31_30:533.3333333333333;31_32:533.3333333333333","true"
"32","293.39247632692843","307.65486048218327","4.929968620604567","-0.30828223495463736","0.025599999999999956","0.025599999999999956","0.0256","1216","0.00009786540699366727","0","0.00009786540699366727","0.00009786540699366727","32_36:0.004868328640202063","32_36:533.3333333333333","true"
"33","376.8042707593596","495.4149620198678","4.677511905656563","-0.3137282279838826","0.009400000000000075","0.01419999999999999","0.0046","1216","0.00018746328870200302","0","0.00018746328870200302","0.00018746328870200302","33_39:0.007187894996608629","33_39:533.3333333333333","true"
"34","177.34415813063873","45.240549794896815","4.710723329034998","-0.28769666514137593","0.11430000000000007","0.0706","0.158","1216","0.000806790101935364","0","0.000806790101935364","0.000806790101935364","34_24:0.012469765983872255","34_24:533.3333333333333","true"
"35","314.1488899740617","59.342111216647204","4.9145274034418005","-0.30919638014483275","0.01419999999999999","0.019199999999999995","0.0092","1216","0.00033367253836550986","0","0.00033367253836550986","0.00033367253836550986","35_47:0.004479757659928557;35_28:0.014449740247906517","35_47:533.3333333333333;35_28:533.3333333333333","true"
"36","235.83680674026425","54.835983821715985","4.853991940588241","-0.31028310857915326","0.00869999999999993","0.010199999999999987","0.0072","1216","0.00039449276806885106","0","0.00039449276806885106","0.00039449276806885106","36_51:0.003254380337578272","36_51:533.3333333333333","true"
"37","428.9387689745943","43.85883228146435","4.593861816994554","-0.315389846608389","0.03289999999999993","0.0312","0.034599999999999964","1216","0.0005356061823329289","0","0.0005356061823329289","0.0005356061823329289","37_38:0.012603020187255481","37_38:533.3333333333333","true"
"38","391.16836108634743","105.87664599674555","4.485857079146745","-0.31593779214327095","0.026899999999999924","0.021199999999999997","0.0326","1216","0.0002583853642073741","0","0.0002583853642073741","0.0002583853642073741","38_39:0.007943270841937605","38_39:533.3333333333333","true"
"39","443.7359714530192","113.4348122432219","4.574236575295852","-0.3140308325815774","0.02849999999999997","0.032200000000000006","0.0248","1216","0.00019119401982809275","0","0.00019119401982809275","0.00019119401982809275","","","true"
"40","452.984265085769","370.0634208984192","4.705520310734096","-0.31264268217270236","0.009400000000000075","0.010600000000000054","0.0082","1216","0.00010452946758372162","0","0.00010452946758372162","0.00010452946758372162","40_39:0.005872106469385824","40_39:590.2222222222222","true"
"41","238.90906384338714","246.62723958351575","4.814564020849521","-0.3126369186509598","0.013800000000000034","0.01419999999999999","0.0134","1216","0.00016968684578901036","0","0.00016968684578901036","0.00016968684578901036","41_40:0.007718053773893008;41_53:0.005020436635544523","41_40:533.3333333333333;41_53:533.3333333333333","true"
"42","217.72696033343067","340.85690027423374","4.654733071608244","-0.3142873185900896","0.03969999999999996","0.0348","0.04459999999999997","1216","0.00018934439956734146","0","0.00018934439956734146","0.00018934439956734146","42_41:0.00844304670684276","42_41:533.3333333333333","true"
"43","286.4611185713687","149.63626122463762","4.7551445590507235","-0.31327741535760273","0.010000000000000009","0.01200000000000001","0.008","1216","0.00019501994119060792","0","0.00019501994119060792","0.00019501994119060792","43_44:0.010273689517482476;43_34:0.012066669477848346;43_42:0.0063650931623333296","43_44:533.3333333333333;43_34:533.3333333333333;43_42:533.3333333333333","true"
"44","274.2626038499","233.06883773245784","4.868052170923375","-0.3104963912007421","0.006000000000000005","0.009399999999999964","0.0026","1216","0.0002415392348881069","0","0.0002415392348881069","0.0002415392348881069","","","true"
"45","239.1637295536458","156.0660080983541","4.762850179061688","-0.3110511707571012","0.022299999999999986","0.036800000000000055","0.0078","1216","0.0003045754407942451","0","0.0003045754407942451","0.0003045754407942451","45_46:0.005816318249656893;45_44:0.004716155592418558","45_46:533.3333333333333;45_44:533.3333333333333","true"
"46","321.8549096552664","377.49234190049503","4.674088553602355","-0.31335055063587447","0.00869999999999993","0.0062","0.011199999999999988","1216","0.00013999850569760771","0","0.00013999850569760771","0.00013999850569760771","","","true"
"47","172.77795000207843","205.4142095488553","4.795122037806665","-0.31225140541662605","0.00990000000000002","0.011399999999999966","0.0084","1216","0.00016575573214323882","0","0.00016575573214323882","0.00016575573214323882","47_48:0.004018755529647228;47_46:0.0027737085139633855","47_48:533.3333333333333;47_46:533.3333333333333","true"
"48","212.12970298164532","306.72302948798296","4.707253719586442","-0.31164980062742437","0.013000000000000012","0.013000000000000012","0.013","1216","0.00015021819362324236","0","0.00015021819362324236","0.00015021819362324236","","","true"
"49","241.67897722454268","197.02523655976185","4.810804908106394","-0.31113135217025384","0.010000000000000009","0.0098","0.010199999999999987","1216","0.00014211300905626136","0","0.00014211300905626136","0.00014211300905626136","49_50:0.004656438298595772;49_48:0.00430774208627388","49_50:590.2222222222222;49_48:533.3333333333333","true"
"50","295.7069660354539","174.29557329796032","4.879032982277444","-0.3096877134937021","0.0034000000000000696","0.005600000000000049","0.0012","1216","0.00022300720579745986","0","0.00022300720579745986","0.00022300720579745986","50_51:0.004879586769215988","50_51:341.3333333333333","true"
"51","379.495529580819","182.21326888544462","4.7673640034184155","-0.31093959212206534","0.0121","0.014599999999999946","0.0096","1216","0.00013101833918167084","0","0.00013101833918167084","0.00013101833918167084","","","true"
